#num	interval	wild	domes
1	0.00-0.05	0.625943223699619	0.0462295451678624
2	0.05-0.10	0.168601000209321	0.104166268495832
3	0.10-0.15	0.0725958378386306	0.0735036102945955
4	0.15-0.20	0.0364156899448876	0.0948815616960931
5	0.20-0.25	0.0182945066705064	0.0724467056300719
6	0.25-0.30	0.0174452220294925	0.0390175564669951
7	0.30-0.35	0.0140227515844647	0.0499181997836499
8	0.35-0.40	0.0422144685926896	0.085803266657238
9	0.40-0.45	0.00446729943038821	0.0532628347979649
10	0.45-0.50	0	0.0359060902936781
11	0.50-0.55	0	0.0450015863126068
12	0.55-0.60	0	0.0474804386632163
13	0.60-0.65	0	0.0493094762110446
14	0.65-0.70	0	0.0369305042180626
15	0.70-0.75	0	0.0264961985834037
16	0.75-0.80	0	0.0605627396192085
17	0.80-0.85	0	0.029237843685138
18	0.85-0.90	0	0.0317291189658006
19	0.90-0.95	0	0.00463757534984882
20	0.95-1.00	0	0.0134788791076896
